,distance,velocity,minttc
669,36,12.4,3.367687279
670,36,12.8,3.405369789
671,36,13.2,3.405369789
672,36,13.6,3.405369789
673,36,14,3.367720662
674,36,14.4,3.367687279
675,36,14.8,3.367671256
676,36,15.2,3.367703303
677,36,15.6,3.367687279
678,36,16,3.367687279
679,36,16.4,3.405369789
680,36,16.8,3.405369789
681,36,17.2,3.405369789
682,36,17.6,3.405369789
683,36,18,3.367687279
684,36,18.4,3.367653897
685,36,18.8,3.367703303
686,36,19.2,3.367687279
687,36,19.6,3.367703303
688,36,20,3.405369789
689,36,20.4,0
690,36,20.8,0
691,36,21.2,0
692,36,21.6,0.645871133
693,36,22,0.645576821
694,36,22.4,0.645567106
695,36,22.8,0.645588304
696,36,23.2,0.643716773
697,36,23.6,0.643716718
698,36,24,0.643716718
699,36,24.4,0.645574613
700,36,24.8,0.645576821
701,36,25.2,0.645565008
702,36,25.6,1.878324003
703,36,26,1.872107891
704,36,26.4,1.872107891
705,36,26.8,1.863488783
706,36,27.2,1.863488783
707,36,27.6,1.863488783
708,36,28,1.872145976
709,36,28.4,1.872043133
710,36,28.8,1.872037831
711,36,29.2,1.872102427
712,36,29.6,1.872102266
713,36,30,2.01570052
714,38,10,3.615577801
715,38,10.4,3.615577801
716,38,10.8,3.56923754
717,38,11.2,3.569853588
718,38,11.6,3.569220588
719,38,12,3.569206461
720,38,12.4,3.569220588
721,38,12.8,3.569220588
722,38,13.2,3.615577801
723,38,13.6,3.615577801
724,38,14,3.615577801
725,38,14.4,3.56923754
726,38,14.8,3.569236128
727,38,15.2,3.569236128
728,38,15.6,3.569236128
729,38,16,3.569236128
730,38,16.4,3.615577801
731,38,16.8,3.615577801
732,38,17.2,3.615577801
733,38,17.6,3.615577801
734,38,18,3.569222001
735,38,18.4,3.569206461
736,38,18.8,3.569236128
737,38,19.2,3.569206461
738,38,19.6,3.569236128
739,38,20,3.615577801
740,38,20.4,0
741,38,20.8,0
742,38,21.2,0
743,38,21.6,0.637329818
744,38,22,0.637019157
745,38,22.4,0.637017061
746,38,22.8,0.637023618
747,38,23.2,0.635181518
748,38,23.6,0.635181465
749,38,24,0.635181465
750,38,24.4,0.637012492
751,38,24.8,0.637017061
752,38,25.2,0.637017007
753,38,25.6,1.918358988
754,38,26,1.912079522
755,38,26.4,1.912047238
756,38,26.8,1.903332321
757,38,27.2,1.903332321
758,38,27.6,1.903332321
759,38,28,1.912046754
760,38,28.4,1.912032872
761,38,28.8,1.912046915
762,38,29.2,1.91205773
763,38,29.6,1.912047238
764,38,30,1.91205773
765,40,10,3.825785812
766,40,10.4,3.825785812
767,40,10.8,3.771799459
768,40,11.2,3.771811387
769,40,11.6,3.771811387
770,40,12,3.771811387
771,40,12.4,3.771799459
772,40,12.8,3.771811387
773,40,13.2,3.771811387
774,40,13.6,3.825785812
775,40,14,3.825785812
776,40,14.4,3.771799459
777,40,14.8,3.771811387
778,40,15.2,3.77178455
779,40,15.6,3.771799459
780,40,16,3.771811387
781,40,16.4,3.771826296
782,40,16.8,3.771811387
783,40,17.2,3.825785812
784,40,17.6,3.825785812
785,40,18,3.771812877
786,40,18.4,3.771811387
787,40,18.8,3.771799459
788,40,19.2,3.771811387
789,40,19.6,3.771811387
790,40,20,3.825785812
791,40,20.4,3.825785812
792,40,20.8,0
793,40,21.2,0
794,40,21.6,0
795,40,22,0.641862501
796,40,22.4,0.641540537
797,40,22.8,0.641540592
798,40,23.2,0.641551768
799,40,23.6,0.639875513
800,40,24,0.639875513
801,40,24.4,0.641551768
802,40,24.8,0.641569486
803,40,25.2,0.641540592
804,40,25.6,0.641540537
805,40,26,1.95571113
806,40,26.4,1.94978871
807,40,26.8,1.94978871
808,40,27.2,1.942180397
809,40,27.6,1.942180237
810,40,28,1.949794375
811,40,28.4,1.94978871
812,40,28.8,1.949751808
813,40,29.2,1.949788872
814,40,29.6,1.949788548
815,40,30,1.949788548
816,42,10,4.035993824
817,42,10.4,4.035993824
818,42,10.8,3.97517104
819,42,11.2,3.975158482
820,42,11.6,3.97517104
821,42,12,3.97517104
822,42,12.4,3.975182029
823,42,12.8,3.975194587
824,42,13.2,4.035993824
825,42,13.6,4.035993824
826,42,14,3.975196157
827,42,14.4,3.975194587
828,42,14.8,3.975182029
829,42,15.2,3.975158482
830,42,15.6,3.975182029
831,42,16,3.975182029
832,42,16.4,3.975194587
833,42,16.8,4.035993824
834,42,17.2,3.975183598
835,42,17.6,3.975182029
836,42,18,3.97517104
837,42,18.4,3.97517104
838,42,18.8,3.975182029
839,42,19.2,3.975182029
840,42,19.6,3.97517104
841,42,20,4.035993824
842,42,20.4,4.035993824
843,42,20.8,0
844,42,21.2,0
845,42,21.6,0
846,42,22,0.7340417
847,42,22.4,0.733647079
848,42,22.8,0.733647014
849,42,23.2,0.731355492
850,42,23.6,0.731355492
851,42,24,0.733647079
852,42,24.4,0.733658051
853,42,24.8,0.733647079
854,42,25.2,0.733647014
855,42,25.6,0.73365465
856,42,26,1.995471543
857,42,26.4,2.027289169
858,42,26.8,2.039847732
859,42,27.2,2.027289
860,42,27.6,2.027289169
861,42,28,2.027289169
862,42,28.4,2.027277342
863,42,28.8,2.027289337
864,42,29.2,2.027289169
865,42,29.6,2.027277342
866,42,30,2.039847732
867,44,10,4.246201836
868,44,10.4,4.17917621
869,44,10.8,4.179164666
870,44,11.2,4.179153122
871,44,11.6,4.179164666
872,44,12,4.179153122
873,44,12.4,4.179153122
874,44,12.8,4.179164666
875,44,13.2,4.246201836
876,44,13.6,4.179164666
877,44,14,4.17917621
878,44,14.4,4.179164666
879,44,14.8,4.179164666
880,44,15.2,4.179153122
881,44,15.6,4.179153122
882,44,16,4.179164666
883,44,16.4,4.179164666
884,44,16.8,4.246201836
885,44,17.2,4.179154771
886,44,17.6,4.179164666
887,44,18,4.246201836
888,44,18.4,4.17917621
889,44,18.8,4.17917621
890,44,19.2,4.179164666
891,44,19.6,4.179164666
892,44,20,4.246201836
893,44,20.4,4.179164666
894,44,20.8,0.182002012
895,44,21.2,0
896,44,21.6,0
897,44,22,0
898,44,22.4,0.718802152
899,44,22.8,0.718410882
900,44,23.2,0.718410882
901,44,23.6,0.716122734
902,44,24,0.718410944
903,44,24.4,0.718410882
904,44,24.8,0.718410882
905,44,25.2,0.718410944
906,44,25.6,0.718410882
907,44,26,0.718410882
908,44,26.4,2.048287246
909,44,26.8,2.04932923
910,44,27.2,2.048593572
911,44,27.6,2.048575161
912,44,28,2.048593572
913,44,28.4,2.048593572
914,44,28.8,2.048539542
915,44,29.2,2.048575161
916,44,29.6,2.048593572
917,44,30,2.04932923
918,46,10,4.364818518
919,46,10.4,4.383633979
920,46,10.8,4.456409847
921,46,11.2,4.383623605
922,46,11.6,4.383623605
923,46,12,4.383633979
924,46,12.4,4.383644352
925,46,12.8,4.383644352
926,46,13.2,4.383644352
927,46,13.6,4.383633979
928,46,14,4.383623605
929,46,14.4,4.383633979
930,46,14.8,4.456409847
931,46,15.2,4.383633979
932,46,15.6,4.383633979
933,46,16,4.383623605
934,46,16.4,4.383623605
935,46,16.8,4.456409847
936,46,17.2,4.383623605
937,46,17.6,4.383623605
938,46,18,4.456409847
939,46,18.4,4.383623605
940,46,18.8,4.383633979
941,46,19.2,4.383644352
